sales_id,date_sk,store_sk,product_sk,customer_sk,promotion_sk,quantity,unit_price,gross_amount,discount_amount,net_amount,payment_method
57,2,3,7,40,,5,24.99,124.94999999999999,0.0,124.95,Digital Wallet
58,2,2,8,8,,2,7.56,15.12,0.0,15.12,Cash
59,2,4,7,12,,1,24.23,24.23,0.0,24.23,Card
60,2,4,4,3,1,1,5.58,5.58,0.56,5.02,Card
61,2,2,10,13,1,1,443.77,443.77,44.38,399.39,Card
62,2,1,8,24,,2,7.53,15.06,0.0,15.06,Cash
63,2,2,2,11,,2,3.22,6.44,0.0,6.44,Card
64,2,1,9,30,,2,9.27,18.54,0.0,18.54,Digital Wallet
65,2,1,10,25,,1,444.5,444.5,0.0,444.5,Digital Wallet
66,2,5,4,23,1,2,5.7,11.4,1.14,10.26,Card
67,2,5,10,39,1,1,435.72,435.72,43.57,392.15,Cash
68,2,5,7,30,1,2,25.56,51.12,5.11,46.01,Card
69,2,1,1,22,,3,2.38,7.14,0.0,7.14,Cash
70,2,5,7,29,,2,25.33,50.66,0.0,50.66,Cash
71,2,4,9,27,,1,9.02,9.02,0.0,9.02,Card
72,2,3,2,13,1,1,3.24,3.24,0.32,2.92,Cash
73,2,3,10,36,1,1,443.59,443.59,44.36,399.23,Card
74,2,1,10,23,1,1,460.69,460.69,46.07,414.62,Card
75,2,2,10,23,1,1,471.8,471.8,47.18,424.62,Card
76,2,1,3,26,,1,3.02,3.02,0.0,3.02,Digital Wallet
77,2,2,6,27,1,1,177.8,177.8,17.78,160.02,Card
78,2,3,3,25,,3,3.09,9.27,0.0,9.27,Cash
79,2,4,3,7,1,4,2.96,11.84,1.18,10.66,Card
80,2,3,3,19,1,2,2.94,5.88,0.59,5.29,Digital Wallet
81,2,3,1,14,1,3,2.57,7.709999999999999,0.77,6.94,Card
82,2,3,5,10,,1,298.89,298.89,0.0,298.89,Card
83,2,1,1,28,,4,2.49,9.96,0.0,9.96,Card
84,2,5,2,33,,8,3.1,24.8,0.0,24.8,Card
85,2,2,1,7,,2,2.51,5.02,0.0,5.02,Digital Wallet
86,2,5,4,2,,1,5.59,5.59,0.0,5.59,Card
87,2,1,6,35,,1,182.48,182.48,0.0,182.48,Card
88,2,3,7,9,1,2,24.97,49.94,4.99,44.95,Digital Wallet
89,2,4,2,29,1,1,3.2,3.2,0.32,2.88,Card
90,2,1,7,12,1,1,24.5,24.5,2.45,22.05,Digital Wallet
91,2,3,8,12,1,4,7.43,29.72,2.97,26.75,Digital Wallet
92,2,1,2,36,,1,3.28,3.28,0.0,3.28,Card
93,2,4,9,39,,4,8.67,34.68,0.0,34.68,Card
94,2,4,1,34,1,2,2.48,4.96,0.5,4.46,Card
95,2,5,8,25,1,3,7.58,22.740000000000002,2.27,20.47,Card
96,2,3,10,17,,1,434.9,434.9,0.0,434.9,Card
97,2,4,7,24,,7,24.85,173.95000000000002,0.0,173.95,Card
98,2,1,3,21,,2,3.0,6.0,0.0,6.0,Card
99,2,2,6,29,,1,183.04,183.04,0.0,183.04,Card
100,2,2,8,14,1,2,7.48,14.96,1.5,13.46,Cash
101,2,2,9,39,,2,9.18,18.36,0.0,18.36,Cash
102,2,2,1,34,,1,2.42,2.42,0.0,2.42,Card
103,2,3,1,29,,3,2.47,7.41,0.0,7.41,Cash
104,2,1,2,14,1,3,3.28,9.84,0.98,8.86,Digital Wallet
105,2,1,2,24,,1,3.23,3.23,0.0,3.23,Digital Wallet
106,2,3,10,34,1,1,435.24,435.24,43.52,391.72,Gift Card
107,2,3,5,29,,1,305.98,305.98,0.0,305.98,Card
108,2,2,5,3,,1,308.69,308.69,0.0,308.69,Digital Wallet
109,2,1,7,20,1,2,25.39,50.78,5.08,45.7,Digital Wallet
110,2,5,3,25,,2,3.05,6.1,0.0,6.1,Card
111,2,4,6,3,,1,180.95,180.95,0.0,180.95,Card
112,2,4,5,8,,1,305.48,305.48,0.0,305.48,Card
113,2,2,2,13,,2,3.19,6.38,0.0,6.38,Card
114,2,2,7,13,,3,25.51,76.53,0.0,76.53,Digital Wallet
115,2,1,4,25,,1,5.39,5.39,0.0,5.39,Digital Wallet
116,2,1,1,23,,1,2.52,2.52,0.0,2.52,Card
117,2,2,10,14,1,1,441.72,441.72,44.17,397.55,Card
118,2,3,10,17,1,1,456.74,456.74,45.67,411.07,Card
119,2,5,9,6,1,1,9.2,9.2,0.92,8.28,Card
120,2,5,2,4,,1,3.17,3.17,0.0,3.17,Card
121,2,4,1,10,,1,2.59,2.59,0.0,2.59,Card
122,2,5,1,6,1,2,2.45,4.9,0.49,4.41,Card
123,2,2,10,17,1,1,460.66,460.66,46.07,414.59,Digital Wallet
124,2,4,8,27,,2,7.51,15.02,0.0,15.02,Digital Wallet
125,2,5,8,6,,2,7.66,15.32,0.0,15.32,Card
126,2,1,8,12,1,3,7.35,22.049999999999997,2.2,19.85,Card
127,2,3,10,7,1,1,440.52,440.52,44.05,396.47,Digital Wallet
128,2,3,3,15,1,1,3.01,3.01,0.3,2.71,Cash
129,2,4,8,22,1,2,7.42,14.84,1.48,13.36,Card
130,2,2,6,31,,1,172.24,172.24,0.0,172.24,Cash
131,2,1,10,38,,1,451.32,451.32,0.0,451.32,Card
132,2,4,10,32,1,1,453.21,453.21,45.32,407.89,Card
133,2,4,9,10,1,2,9.17,18.34,1.83,16.51,Digital Wallet
134,2,2,5,2,,1,299.55,299.55,0.0,299.55,Card
135,2,2,10,34,,1,449.91,449.91,0.0,449.91,Card
136,2,3,1,6,,2,2.48,4.96,0.0,4.96,Digital Wallet
137,2,4,10,7,,1,454.85,454.85,0.0,454.85,Cash
138,2,3,1,14,1,1,2.59,2.59,0.26,2.33,Card
139,3,5,8,18,,1,7.29,7.29,0.0,7.29,Card
140,3,4,3,35,1,1,3.06,3.06,0.31,2.75,Digital Wallet
141,3,1,10,31,,1,459.16,459.16,0.0,459.16,Cash
142,3,4,7,32,1,1,24.85,24.85,2.49,22.36,Cash
143,3,2,9,39,,3,9.26,27.78,0.0,27.78,Card
144,3,4,10,23,,1,461.39,461.39,0.0,461.39,Card
145,3,2,3,5,,1,2.94,2.94,0.0,2.94,Card
146,3,1,8,39,,1,7.47,7.47,0.0,7.47,Card
147,3,5,1,1,1,1,2.49,2.49,0.25,2.24,Card
148,3,2,6,12,,1,180.71,180.71,0.0,180.71,Card
149,3,4,8,12,,1,7.62,7.62,0.0,7.62,Digital Wallet
150,3,4,6,15,,1,183.38,183.38,0.0,183.38,Card
151,3,4,3,2,1,1,2.92,2.92,0.29,2.63,Card
152,3,1,7,14,,2,25.3,50.6,0.0,50.6,Card
153,3,1,8,39,1,2,7.36,14.72,1.47,13.25,Card
154,3,2,3,8,,1,3.01,3.01,0.0,3.01,Card
155,3,5,10,34,1,1,448.08,448.08,44.81,403.27,Digital Wallet
156,3,1,1,8,1,6,2.49,14.940000000000001,1.49,13.45,Card
157,3,1,10,25,,1,451.89,451.89,0.0,451.89,Cash
158,3,4,8,38,,3,7.55,22.65,0.0,22.65,Card
159,3,3,5,7,,1,291.36,291.36,0.0,291.36,Card
160,3,1,8,32,1,1,7.24,7.24,0.72,6.52,Cash
161,3,2,9,9,,3,8.74,26.22,0.0,26.22,Card
162,3,3,9,6,,4,8.69,34.76,0.0,34.76,Card
163,3,1,8,15,,1,7.42,7.42,0.0,7.42,Card
164,3,3,10,28,,1,445.16,445.16,0.0,445.16,Card
165,3,4,9,2,,1,8.97,8.97,0.0,8.97,Card
166,3,5,3,36,,1,2.98,2.98,0.0,2.98,Card
167,3,5,8,13,,3,7.56,22.68,0.0,22.68,Digital Wallet
168,3,1,3,37,,3,2.91,8.73,0.0,8.73,Cash
169,3,2,6,5,,1,180.88,180.88,0.0,180.88,Card
170,3,1,2,37,1,3,3.14,9.42,0.94,8.48,Card
171,3,1,10,35,,1,464.02,464.02,0.0,464.02,Card
172,3,1,8,39,,3,7.63,22.89,0.0,22.89,Cash
173,3,4,2,33,,2,3.26,6.52,0.0,6.52,Digital Wallet
174,3,4,10,27,,1,435.07,435.07,0.0,435.07,Card
175,3,2,8,3,,1,7.27,7.27,0.0,7.27,Card
176,3,4,1,36,,3,2.42,7.26,0.0,7.26,Card
177,3,4,4,12,1,3,5.59,16.77,1.68,15.09,Cash
178,3,4,8,18,1,4,7.6,30.4,3.04,27.36,Card
179,3,2,4,21,1,1,5.63,5.63,0.56,5.07,Digital Wallet
180,3,2,7,35,,3,25.01,75.03,0.0,75.03,Card
181,3,2,8,30,,5,7.31,36.55,0.0,36.55,Card
182,3,4,8,10,,1,7.44,7.44,0.0,7.44,Digital Wallet
183,3,1,8,3,1,3,7.63,22.89,2.29,20.6,Card
184,3,4,10,32,,1,418.57,418.57,0.0,418.57,Digital Wallet
185,3,4,6,6,1,1,173.07,173.07,17.31,155.76,Card
186,3,2,6,2,,1,183.5,183.5,0.0,183.5,Cash
187,3,1,6,9,,1,176.8,176.8,0.0,176.8,Card
188,3,4,8,40,,3,7.44,22.32,0.0,22.32,Card
189,3,5,10,35,,1,438.49,438.49,0.0,438.49,Cash
190,3,5,1,2,,1,2.4,2.4,0.0,2.4,Cash
191,3,5,9,39,1,3,8.97,26.910000000000004,2.69,24.22,Cash
192,3,5,10,26,1,1,445.09,445.09,44.51,400.58,Digital Wallet
193,3,4,8,35,,2,7.53,15.06,0.0,15.06,Cash
194,3,1,10,2,,1,450.86,450.86,0.0,450.86,Card
195,3,2,10,40,,1,468.37,468.37,0.0,468.37,Digital Wallet
196,3,1,8,23,,1,7.4,7.4,0.0,7.4,Card
197,3,5,1,8,1,1,2.47,2.47,0.25,2.22,Card
198,3,5,7,40,1,1,25.08,25.08,2.51,22.57,Cash
199,3,3,3,5,,2,2.94,5.88,0.0,5.88,Digital Wallet
200,3,1,10,15,1,1,447.7,447.7,44.77,402.93,Card
201,3,4,9,25,,1,9.25,9.25,0.0,9.25,Digital Wallet
202,3,4,2,10,1,2,3.3,6.6,0.66,5.94,Card
203,3,4,5,22,,1,300.88,300.88,0.0,300.88,Card
204,3,1,8,35,,3,7.47,22.41,0.0,22.41,Cash
205,3,5,10,40,1,1,437.38,437.38,43.74,393.64,Card
206,3,3,3,28,1,1,3.0,3.0,0.3,2.7,Card
207,3,4,10,31,1,1,438.26,438.26,43.83,394.43,Card
208,3,5,8,3,,2,7.48,14.96,0.0,14.96,Cash
209,3,5,2,16,1,4,3.21,12.84,1.28,11.56,Cash
210,3,3,3,13,,5,3.04,15.2,0.0,15.2,Cash
211,3,4,4,31,,3,5.68,17.04,0.0,17.04,Card
212,3,5,8,40,1,1,7.43,7.43,0.74,6.69,Card
213,3,5,2,7,,2,3.29,6.58,0.0,6.58,Cash
214,3,2,8,19,1,2,7.79,15.58,1.56,14.02,Card
215,3,5,9,38,,2,8.83,17.66,0.0,17.66,Card
216,3,4,1,28,,5,2.47,12.350000000000001,0.0,12.35,Card
217,3,4,5,9,1,1,301.13,301.13,30.11,271.02,Cash
218,3,5,8,19,,1,7.5,7.5,0.0,7.5,Digital Wallet
219,3,5,7,21,,2,25.09,50.18,0.0,50.18,Card
220,3,1,1,31,1,2,2.47,4.94,0.49,4.45,Card
221,3,4,3,28,1,3,2.96,8.879999999999999,0.89,7.99,Digital Wallet
222,3,3,1,21,,2,2.53,5.06,0.0,5.06,Card
223,3,3,10,15,,1,446.68,446.68,0.0,446.68,Cash
224,3,1,7,21,,2,25.45,50.9,0.0,50.9,Card
225,3,1,10,12,1,1,441.74,441.74,44.17,397.57,Card
226,3,2,2,22,,2,3.17,6.34,0.0,6.34,Cash
227,3,1,9,17,,2,8.79,17.58,0.0,17.58,Card
228,3,2,6,39,,1,178.22,178.22,0.0,178.22,Card
229,3,4,4,35,1,1,5.42,5.42,0.54,4.88,Card
230,3,4,9,22,1,1,9.1,9.1,0.91,8.19,Cash
231,3,4,10,27,,1,449.77,449.77,0.0,449.77,Card
232,3,2,1,3,,3,2.52,7.5600000000000005,0.0,7.56,Digital Wallet
233,3,2,2,5,,2,3.25,6.5,0.0,6.5,Cash
234,3,1,5,40,,1,295.0,295.0,0.0,295.0,Card
235,3,4,2,16,,4,3.16,12.64,0.0,12.64,Cash
236,3,3,4,30,,1,5.43,5.43,0.0,5.43,Digital Wallet
237,3,1,5,21,,1,293.48,293.48,0.0,293.48,Digital Wallet
238,3,3,2,27,1,1,3.26,3.26,0.33,2.93,Digital Wallet
239,3,2,1,5,1,2,2.5,5.0,0.5,4.5,Card
240,3,3,10,30,1,1,455.57,455.57,45.56,410.01,Cash
241,3,2,2,21,,3,3.12,9.36,0.0,9.36,Cash
242,3,4,6,15,1,1,186.21,186.21,18.62,167.59,Card
243,3,5,8,2,,1,7.35,7.35,0.0,7.35,Gift Card
244,3,3,8,25,1,1,7.57,7.57,0.76,6.81,Cash
245,3,5,8,14,,3,7.53,22.59,0.0,22.59,Card
246,3,3,2,38,1,1,3.24,3.24,0.32,2.92,Card
247,3,3,6,25,,1,177.55,177.55,0.0,177.55,Card
248,3,1,4,3,,2,5.48,10.96,0.0,10.96,Cash
249,3,3,8,19,1,1,7.55,7.55,0.76,6.79,Card
250,3,1,6,25,,1,185.58,185.58,0.0,185.58,Card
251,3,1,4,30,,1,5.36,5.36,0.0,5.36,Cash
252,3,5,10,30,,1,437.57,437.57,0.0,437.57,Card
253,3,2,8,21,1,1,7.54,7.54,0.75,6.79,Card
254,4,1,1,32,1,2,2.55,5.1,0.51,4.59,Card
255,4,1,4,29,,2,5.55,11.1,0.0,11.1,Card
256,4,4,5,3,,1,306.17,306.17,0.0,306.17,Digital Wallet
257,4,2,6,1,,1,176.77,176.77,0.0,176.77,Card
258,4,5,6,26,,1,173.46,173.46,0.0,173.46,Card
259,4,2,10,29,,1,469.62,469.62,0.0,469.62,Card
260,4,4,3,13,,2,2.96,5.92,0.0,5.92,Digital Wallet
261,4,1,4,21,1,1,5.43,5.43,0.54,4.89,Digital Wallet
262,4,1,8,24,,3,7.47,22.41,0.0,22.41,Card
263,4,3,2,1,,4,3.11,12.44,0.0,12.44,Digital Wallet
264,4,5,1,27,,1,2.54,2.54,0.0,2.54,Digital Wallet
265,4,1,8,18,,3,7.52,22.56,0.0,22.56,Digital Wallet
266,4,4,2,15,,3,3.14,9.42,0.0,9.42,Card
267,4,2,2,9,1,3,3.12,9.36,0.94,8.42,Card
268,4,3,6,15,1,1,179.39,179.39,17.94,161.45,Card
269,4,1,3,25,1,4,2.92,11.68,1.17,10.51,Cash
270,4,4,3,32,,4,3.04,12.16,0.0,12.16,Card
271,4,1,1,33,,2,2.47,4.94,0.0,4.94,Digital Wallet
272,4,3,1,18,,2,2.5,5.0,0.0,5.0,Card
273,4,5,7,12,1,1,24.43,24.43,2.44,21.99,Card
274,4,3,5,6,,1,299.58,299.58,0.0,299.58,Card
275,4,2,10,37,,1,448.16,448.16,0.0,448.16,Cash
276,4,4,7,29,1,2,25.1,50.2,5.02,45.18,Card
277,4,4,10,13,,1,463.12,463.12,0.0,463.12,Card
278,4,2,10,21,1,1,451.25,451.25,45.12,406.13,Card
279,4,4,10,4,1,1,457.63,457.63,45.76,411.87,Card
280,4,2,7,17,,2,24.08,48.16,0.0,48.16,Card
281,4,5,2,5,,2,3.21,6.42,0.0,6.42,Card
282,4,3,7,5,,4,25.87,103.48,0.0,103.48,Gift Card
283,4,4,9,6,1,2,9.11,18.22,1.82,16.4,Card
284,4,1,5,17,,1,294.66,294.66,0.0,294.66,Gift Card
285,4,2,6,4,,1,178.62,178.62,0.0,178.62,Card
286,4,5,6,33,,1,183.98,183.98,0.0,183.98,Card
287,4,3,6,13,,1,182.17,182.17,0.0,182.17,Card
288,4,3,8,21,1,2,7.61,15.22,1.52,13.7,Digital Wallet
289,4,3,10,8,1,1,459.86,459.86,45.99,413.87,Card
290,4,5,10,9,,1,436.07,436.07,0.0,436.07,Digital Wallet
291,4,2,2,23,1,1,3.09,3.09,0.31,2.78,Card
292,4,3,8,13,,1,7.25,7.25,0.0,7.25,Card
293,4,2,1,34,1,2,2.48,4.96,0.5,4.46,Card
294,4,3,10,14,1,1,442.63,442.63,44.26,398.37,Card
295,4,5,8,39,1,3,7.69,23.07,2.31,20.76,Digital Wallet
296,4,2,8,8,1,3,7.29,21.87,2.19,19.68,Card
297,4,4,2,23,,2,3.13,6.26,0.0,6.26,Card
298,4,1,7,26,1,4,25.46,101.84,10.18,91.66,Digital Wallet
299,4,5,10,1,,1,450.66,450.66,0.0,450.66,Card
300,4,2,10,13,,1,439.54,439.54,0.0,439.54,Card
301,4,4,8,17,1,2,7.7,15.4,1.54,13.86,Card
302,4,5,10,37,,1,457.32,457.32,0.0,457.32,Cash
303,4,1,8,25,1,1,7.58,7.58,0.76,6.82,Card
304,4,4,10,35,,1,459.81,459.81,0.0,459.81,Card
305,4,3,5,7,,1,296.29,296.29,0.0,296.29,Digital Wallet
306,4,1,8,11,1,4,7.71,30.84,3.08,27.76,Digital Wallet
307,4,4,9,28,,1,8.93,8.93,0.0,8.93,Card
308,4,3,5,10,,1,310.75,310.75,0.0,310.75,Card
309,4,2,1,37,,4,2.45,9.8,0.0,9.8,Card
310,4,5,6,36,1,1,183.28,183.28,18.33,164.95,Card
311,4,1,4,28,1,1,5.41,5.41,0.54,4.87,Card
312,4,5,3,32,,1,3.0,3.0,0.0,3.0,Card
313,4,1,5,16,,1,310.26,310.26,0.0,310.26,Digital Wallet
314,4,3,1,11,1,3,2.53,7.59,0.76,6.83,Digital Wallet
315,4,5,3,34,,2,3.04,6.08,0.0,6.08,Card
316,4,4,7,15,,2,25.88,51.76,0.0,51.76,Cash
317,4,1,8,10,,1,7.49,7.49,0.0,7.49,Card
318,4,3,3,38,,2,3.01,6.02,0.0,6.02,Card
319,4,1,10,20,1,1,441.5,441.5,44.15,397.35,Digital Wallet
320,4,3,9,32,1,2,9.37,18.74,1.87,16.87,Digital Wallet
321,4,2,7,13,1,3,25.14,75.42,7.54,67.88,Gift Card
322,4,2,10,28,,1,455.18,455.18,0.0,455.18,Card
323,4,4,10,26,,1,435.44,435.44,0.0,435.44,Digital Wallet
324,4,2,10,4,,1,450.09,450.09,0.0,450.09,Cash
325,4,5,10,16,,1,448.24,448.24,0.0,448.24,Card
326,4,1,6,17,1,1,174.55,174.55,17.46,157.09,Card
327,4,5,7,9,,4,25.02,100.08,0.0,100.08,Card
328,4,3,1,3,,1,2.42,2.42,0.0,2.42,Card
329,4,3,10,1,,1,436.93,436.93,0.0,436.93,Digital Wallet
330,4,1,6,26,1,1,173.26,173.26,17.33,155.93,Cash
331,4,4,5,27,,1,305.73,305.73,0.0,305.73,Digital Wallet
332,4,4,2,10,,4,3.17,12.68,0.0,12.68,Card
333,4,4,8,11,,2,7.46,14.92,0.0,14.92,Digital Wallet
334,4,2,10,21,,1,450.56,450.56,0.0,450.56,Digital Wallet
335,4,4,7,29,,1,24.78,24.78,0.0,24.78,Card
336,4,2,10,37,,1,449.78,449.78,0.0,449.78,Card
337,4,3,10,36,,1,458.31,458.31,0.0,458.31,Card
338,4,1,6,23,,1,181.65,181.65,0.0,181.65,Card
339,4,5,9,6,1,1,8.79,8.79,0.88,7.91,Card
340,4,4,10,38,,1,439.25,439.25,0.0,439.25,Cash
341,4,1,10,23,,1,456.67,456.67,0.0,456.67,Card
342,4,3,3,36,1,4,3.0,12.0,1.2,10.8,Card
343,4,2,1,34,1,3,2.52,7.5600000000000005,0.76,6.8,Cash
344,4,5,8,1,,1,7.26,7.26,0.0,7.26,Card
345,4,2,8,32,1,1,7.45,7.45,0.75,6.7,Digital Wallet
346,4,1,3,29,,1,3.0,3.0,0.0,3.0,Card
347,4,1,9,12,1,3,9.22,27.660000000000004,2.77,24.89,Digital Wallet
348,4,1,1,35,,1,2.32,2.32,0.0,2.32,Digital Wallet
349,4,5,2,24,,4,3.31,13.24,0.0,13.24,Card
350,4,3,10,16,1,1,449.36,449.36,44.94,404.42,Digital Wallet
351,4,4,8,23,,2,7.46,14.92,0.0,14.92,Digital Wallet
352,4,3,8,16,1,1,7.42,7.42,0.74,6.68,Card
353,4,5,4,17,1,4,5.42,21.68,2.17,19.51,Cash
354,4,3,1,39,,4,2.48,9.92,0.0,9.92,Cash
355,4,4,3,18,1,2,3.01,6.02,0.6,5.42,Card
356,4,4,5,5,1,1,298.75,298.75,29.88,268.87,Card
357,4,1,4,12,,1,5.53,5.53,0.0,5.53,Cash
358,4,2,8,26,1,1,7.86,7.86,0.79,7.07,Digital Wallet
359,4,3,6,20,,1,184.99,184.99,0.0,184.99,Card
360,4,2,9,6,,2,9.23,18.46,0.0,18.46,Card
361,4,4,3,2,1,2,3.02,6.04,0.6,5.44,Card
362,4,2,5,28,,1,301.04,301.04,0.0,301.04,Card
363,4,1,7,19,,3,24.56,73.67999999999999,0.0,73.68,Digital Wallet
364,4,4,10,4,,1,447.73,447.73,0.0,447.73,Cash
365,4,2,10,28,1,1,463.08,463.08,46.31,416.77,Cash
366,4,1,10,32,,1,460.59,460.59,0.0,460.59,Card
367,4,1,3,5,,1,2.98,2.98,0.0,2.98,Card
368,4,1,8,18,,1,7.59,7.59,0.0,7.59,Card
369,4,4,10,13,,1,444.74,444.74,0.0,444.74,Card
370,4,3,7,17,1,3,25.65,76.94999999999999,7.69,69.26,Digital Wallet
371,4,1,1,21,,4,2.43,9.72,0.0,9.72,Card
372,4,3,8,13,,2,7.51,15.02,0.0,15.02,Digital Wallet
373,4,1,9,14,1,1,9.12,9.12,0.91,8.21,Card
374,4,1,3,21,,5,2.98,14.9,0.0,14.9,Card
375,4,2,7,21,1,1,25.05,25.05,2.51,22.54,Digital Wallet
376,4,5,4,39,,1,5.5,5.5,0.0,5.5,Card
377,4,5,7,22,1,3,23.81,71.42999999999999,7.14,64.29,Card
378,4,5,5,32,,1,292.69,292.69,0.0,292.69,Card
379,4,5,2,40,,3,3.06,9.18,0.0,9.18,Cash
380,4,3,3,10,1,2,3.02,6.04,0.6,5.44,Card
381,4,3,4,28,1,5,5.65,28.25,2.83,25.42,Card
382,4,5,10,34,1,1,444.35,444.35,44.44,399.91,Digital Wallet
383,4,1,7,29,,3,25.36,76.08,0.0,76.08,Digital Wallet
384,4,1,1,17,,4,2.55,10.2,0.0,10.2,Digital Wallet
385,4,4,8,1,,2,7.43,14.86,0.0,14.86,Card
386,4,3,10,15,,1,442.95,442.95,0.0,442.95,Card
387,4,1,10,2,,1,456.62,456.62,0.0,456.62,Card
388,4,1,10,18,1,1,428.82,428.82,42.88,385.94,Digital Wallet
389,4,4,10,29,,1,442.26,442.26,0.0,442.26,Cash
390,4,4,6,11,,1,178.66,178.66,0.0,178.66,Cash
391,4,3,5,2,1,1,297.75,297.75,29.78,267.97,Digital Wallet
392,5,1,8,9,,5,7.81,39.05,0.0,39.05,Cash
393,5,5,5,28,,1,299.9,299.9,0.0,299.9,Digital Wallet
394,5,3,6,26,,1,178.58,178.58,0.0,178.58,Card
395,5,2,4,13,,3,5.6,16.799999999999997,0.0,16.8,Cash
396,5,3,3,17,,1,3.01,3.01,0.0,3.01,Card
397,5,1,3,38,,3,3.07,9.209999999999999,0.0,9.21,Card
398,5,3,8,22,,1,7.51,7.51,0.0,7.51,Digital Wallet
399,5,4,9,20,,2,8.93,17.86,0.0,17.86,Card
400,5,2,9,25,,7,9.08,63.56,0.0,63.56,Card
401,5,3,10,31,1,1,454.41,454.41,45.44,408.97,Card
402,5,5,4,35,1,1,5.6,5.6,0.56,5.04,Cash
403,5,3,1,35,1,1,2.44,2.44,0.24,2.2,Card
404,5,2,8,16,1,2,7.66,15.32,1.53,13.79,Cash
405,5,3,6,10,,1,179.84,179.84,0.0,179.84,Digital Wallet
406,5,3,10,28,,1,439.37,439.37,0.0,439.37,Card
407,5,3,6,4,,1,178.57,178.57,0.0,178.57,Card
408,5,3,10,27,,1,459.1,459.1,0.0,459.1,Card
409,5,3,2,5,1,1,3.2,3.2,0.32,2.88,Card
