date_sk,date,day,month,month_name,quarter,year,day_of_week,day_name,is_weekend,is_month_end,is_month_start,is_quarter_end,is_quarter_start
60,2025-03-01,1,3,March,1,2025,6,Saturday,True,False,True,False,False
61,2025-03-02,2,3,March,1,2025,7,Sunday,True,False,False,False,False
62,2025-03-03,3,3,March,1,2025,1,Monday,False,False,False,False,False
63,2025-03-04,4,3,March,1,2025,2,Tuesday,False,False,False,False,False
64,2025-03-05,5,3,March,1,2025,3,Wednesday,False,False,False,False,False
65,2025-03-06,6,3,March,1,2025,4,Thursday,False,False,False,False,False
66,2025-03-07,7,3,March,1,2025,5,Friday,False,False,False,False,False
67,2025-03-08,8,3,March,1,2025,6,Saturday,True,False,False,False,False
68,2025-03-09,9,3,March,1,2025,7,Sunday,True,False,False,False,False
69,2025-03-10,10,3,March,1,2025,1,Monday,False,False,False,False,False
70,2025-03-11,11,3,March,1,2025,2,Tuesday,False,False,False,False,False
71,2025-03-12,12,3,March,1,2025,3,Wednesday,False,False,False,False,False
72,2025-03-13,13,3,March,1,2025,4,Thursday,False,False,False,False,False
73,2025-03-14,14,3,March,1,2025,5,Friday,False,False,False,False,False
74,2025-03-15,15,3,March,1,2025,6,Saturday,True,False,False,False,False
75,2025-03-16,16,3,March,1,2025,7,Sunday,True,False,False,False,False
76,2025-03-17,17,3,March,1,2025,1,Monday,False,False,False,False,False
77,2025-03-18,18,3,March,1,2025,2,Tuesday,False,False,False,False,False
78,2025-03-19,19,3,March,1,2025,3,Wednesday,False,False,False,False,False
79,2025-03-20,20,3,March,1,2025,4,Thursday,False,False,False,False,False
80,2025-03-21,21,3,March,1,2025,5,Friday,False,False,False,False,False
81,2025-03-22,22,3,March,1,2025,6,Saturday,True,False,False,False,False
82,2025-03-23,23,3,March,1,2025,7,Sunday,True,False,False,False,False
83,2025-03-24,24,3,March,1,2025,1,Monday,False,False,False,False,False
84,2025-03-25,25,3,March,1,2025,2,Tuesday,False,False,False,False,False
85,2025-03-26,26,3,March,1,2025,3,Wednesday,False,False,False,False,False
86,2025-03-27,27,3,March,1,2025,4,Thursday,False,False,False,False,False
87,2025-03-28,28,3,March,1,2025,5,Friday,False,False,False,False,False
88,2025-03-29,29,3,March,1,2025,6,Saturday,True,False,False,False,False
89,2025-03-30,30,3,March,1,2025,7,Sunday,True,False,False,False,False
90,2025-03-31,31,3,March,1,2025,1,Monday,False,True,False,True,False
